#,Device,Model,OS Version,Android Security Patch Level
1,AOSP 10,Pixel 4XL,10,01 Nov 2020
2,AOSP 11,Pixel 4XL,11,05 Dev 2020
3,A10,Huawei P30,10,01 Sep 2020
4,B9,Lenovo Z6 Pro 5G,9,01 Mar 2020
5,C10,OnePlus 7,10,01 Nov 2020
6,C11,OnePlus 8,11,01 Nov 2020
7,D10,Oppo Find X,10,01 Nov 2020
8,D11,Oppo Find X2,11,05 Nov 2020
9,E10,Samsung Galaxy S10,10,01 Nov 2020
10,F10,Smartisan Nut R2,10,05 Oct 2020
11,G10,Vivo iQOO 3,10,09 Dec 2020
12,H10,Xiaomi MI9,10,01 Sep 2020
13,H11,Xiaomi MI10,11,01 Oct 2020
